BBLCOUNT        1.0         0
0x7fffe2e5c362 3 3 8
0x7fffe2e5c350 4 6 18
0x7fffe2e5c378 0 2 4
0x7fffe2e5c4e7 2 3 11
0x7fffe2e5c4cb 1 4 11
0x7fffe2e5c4f2 1 15 44
0x7fffe2e5c51e 0 2 9
0x7fffe2e5c527 0 3 13
0x7fffe2e5c373 1 2 5
0x7fffe2e5c362 1 3 8
0x7fffe2e5c36a 4 2 4
0x7fffe2e5c36e 0 3 10
0x7fffe2e5c593 1 1 2
0x7fffe2e5c581 0 6 20
0x7fffe2e5c570 1 3 17
0x7fffe2e5c3c3 1 15 53
0x7fffe2e5c38e 1 11 53
0x7fffe2e5c37c 1 7 18
0x7fffe2e5c378 1 2 4
0x7fffe2e5c6cc 1 6 11
0x7fffe2e5c6c7 1 1 5
0x7fffe2e5c6a5 1 7 34
0x7fffe2e5c5b0 1 11 35
0x7fffe2e5c5d3 0 3 10
0x7fffe2e5c5dd 0 22 112
0x7fffe2e5c6e0 1 6 37
0x7fffe2e5c705 0 1 5
0x7fffe2e5c5e7 1 21 102
0x7fffe2e5c65e 0 5 27
0x7fffe2e5c682 1 6 35
0x7fffe2e5c679 1 2 9
0x7fffe2e5c65e 1 5 27
0x7fffe2e5c64d 0 3 17
0x7fffe2e5c62b 3 10 34
0x7fffe2e5c64d 1 3 17
0x7fffe2e5c7fc 1 12 68
0x7fffe2e5c7f8 1 2 4
0x7fffe2e5c7e6 1 2 8
0x7fffe2e5c7cf 1 4 23
0x7fffe2e5c7ba 1 5 21
0x7fffe2e5c7b5 1 2 5
0x7fffe2e5c797 1 4 12
0x7fffe2e5c789 1 4 14
0x7fffe2e5c847 1 2 7
0x7fffe2e5c797 0 4 12
0x7fffe2e5c780 0 8 23
0x7fffe2e5c7ee 1 2 10
0x7fffe2e5c7a3 1 4 18
0x7fffe2e5c750 1 13 48
0x7fffe2e5c840 1 2 7
0x7fffe2e5cbf0 10 3 17
0x7fffe2e5cbf0 2 3 17
0x7fffe2e66930 1 17 55
0x7fffe2e66967 1 1 5
0x7fffe2e66a3f 1 2 6
0x7fffe2e66a45 1 5 23
0x7fffe2e66a22 1 9 18
0x7fffe2e66b58 1 2 12
0x7fffe2e66a04 0 4 22
0x7fffe2e669fc 1 2 8
0x7fffe2e66a75 12 4 18
0x7fffe2e66a5c 12 7 25
0x7fffe2e66a87 0 3 11
0x7fffe2e66b68 12 2 11
0x7fffe2e66a98 12 2 5
0x7fffe2e669e5 1 5 23
0x7fffe2e66a45 11 5 23
0x7fffe2e66a38 12 4 13
0x7fffe2e66a9d 1 2 9
0x7fffe2e66aa6 0 2 8
0x7fffe2e67338 1 2 8
0x7fffe2e671b0 1 7 28
0x7fffe2e674cb 1 3 18
0x7fffe2e671ab 10 8 33
0x7fffe2e671a2 11 2 9
0x7fffe2e67195 12 3 13
0x7fffe2e671fc 0 4 19
0x7fffe2e671e6 12 5 22
0x7fffe2e671df 0 6 29
0x7fffe2e671d9 12 2 6
0x7fffe2e671cc 12 3 13
0x7fffe2e675ca 12 12 36
0x7fffe2e673a8 0 1 2
0x7fffe2e673aa 11 4 16
0x7fffe2e67340 1 4 18
0x7fffe2e67391 11 6 23
0x7fffe2e67380 12 5 17
0x7fffe2e673e5 0 3 12
0x7fffe2e673d7 1 3 14
0x7fffe2e673d2 12 2 5
0x7fffe2e673c6 0 1 5
0x7fffe2e673ba 0 3 12
0x7fffe2e673aa 1 4 16
0x7fffe2e673a8 1 1 2
0x7fffe2e67391 1 6 23
0x7fffe2e6738b 1 2 6
0x7fffe2e67360 1 5 25
0x7fffe2e67352 1 3 14
0x7fffe2e6763c 12 3 9
0x7fffe2e67630 12 2 12
0x7fffe2e6759e 0 4 18
0x7fffe2e67570 12 16 46
0x7fffe2e671b3 1 6 25
0x7fffe2e6717c 1 3 16
0x7fffe2e67320 1 3 19
0x7fffe2e66d30 0 2 8
0x7fffe2e66c30 1 9 26
0x7fffe2e66c4a 1 2 9
0x7fffe2e66c53 1 5 21
0x7fffe2e66d27 1 2 9
0x7fffe2e66e00 1 8 43
0x7fffe2e66cd5 1 15 82
0x7fffe2e66ccc 1 2 9
0x7fffe2e66ccc 0 2 9
0x7fffe2e66cc3 0 2 9
0x7fffe2e66cbe 1 2 5
0x7fffe2e66ca0 1 4 30
0x7fffe2e66e53 0 5 29
0x7fffe2e66e43 0 3 16
0x7fffe2e66e3b 1 2 8
0x7fffe2e66e2b 1 4 16
0x7fffe2e673ba 0 3 12
0x7fffe2e673c6 0 1 5
0x7fffe2e67402 1 3 15
0x7fffe2e672a0 1 3 14
0x7fffe2e672ae 0 2 10
0x7fffe2e67418 1 5 29
0x7fffe2e67435 1 1 5
0x7fffe2e672ae 1 2 10
0x7fffe2e672b8 1 2 10
