BBLCOUNT        1.0         0
0x7fffe3276c7c 0 5 18
0x7fffe3276c73 3 2 9
0x7fffe3276c55 3 9 25
0x7fffe3276c6e 3 2 5
0x7fffe327ac88 6 5 18
0x7fffe327ac50 6 12 56
0x7fffe327ace1 6 2 4
0x7fffe327acc0 6 7 33
0x7fffe327ace5 0 4 12
0x7fffe327acf8 6 1 1
0x7fffe327c3fa 1 32 156
0x7fffe327c3d0 1 8 42
0x7fffe327c562 2 3 11
0x7fffe327c54f 2 3 19
0x7fffe327c3d0 1 8 42
0x7fffe327c3fa 1 32 156
0x7fffe327c4ae 0 2 8
0x7fffe327c4a2 2 3 12
0x7fffe327c496 2 2 12
0x7fffe327e10e 1 2 5
0x7fffe327e0d0 1 9 46
0x7fffe327e0fe 1 3 16
0x7fffe327e1de 1 4 20
0x7fffe327e170 1 11 50
0x7fffe327e1a2 1 4 20
0x7fffe327e1b6 1 4 20
0x7fffe327e1ca 1 4 20
0x7fffe327e216 1 3 6
0x7fffe327e1f2 1 3 10
0x7fffe327e1fc 1 4 26
0x7fffe327e4d8 1 4 13
0x7fffe3299016 1 2 5
0x7fffe3299014 0 1 2
0x7fffe3299000 1 5 20
0x7fffe3299140 1 2 11
0x7fffe32992ad 1 4 14
0x7fffe32992a0 1 3 13
0x7fffe32992bb 1 2 12
0x7fffe32992c7 1 1 5
0x7fffe3299230 1 4 19
0x7fffe3299243 0 3 12
0x7fffe329924f 0 1 2
0x7fffe3299258 1 1 1
0x7fffe32992cc 1 3 9
0x7fffe3299220 1 3 16
0x7fffe3299298 1 1 1
0x7fffe3299290 0 1 2
0x7fffe3299284 0 3 12
0x7fffe3299260 1 9 36
0x7fffe32992e0 1 2 9
0x7fffe329971c 1 3 6
0x7fffe329970c 1 3 16
0x7fffe32996f2 0 4 17
0x7fffe32996d0 1 9 34
